#Entropy	P318.871868	P2477463190.000000	P10616202800.000000	P37130030300.000000	P131632621000.000000	P506485527000.000000	P639214903000.000000	P782079315000.000000	P952433604000.000000	P1141842300000.000000	P1358868850000.000000	P1586897850000.000000	P1835548490000.000000	P2104786810000.000000	P2396120650000.000000	P2614561580000.000000	P2962072790000.000000	P3499668870000.000000	P4134904600000.000000	P4858271530000.000000	P5663806720000.000000	P6549142300000.000000	P7512178540000.000000	P8551043990000.000000	P9664062550000.000000	P10851977700000.000000	P12122947400000.000000	P13464435400000.000000	P14875306900000.000000	P16354524000000.000000
12117647.100000	325.247946	325.697819	327.107917	331.617111	346.677466	395.378840	408.161256	429.760346	436.650629	443.258408	449.892168	456.617863	463.219197	469.675096	476.027036	480.438082	486.944974	496.025053	506.059142	516.591129	527.086570	537.468530	547.692697	558.340209	568.945724	579.339076	589.590399	599.607800	609.904970	620.035918
12647058.800000	341.467653	341.920343	343.343454	347.884733	364.756371	415.834734	429.221645	451.089248	458.724319	466.039203	473.351681	480.154911	486.799749	493.299155	499.703999	504.508617	511.644379	521.594023	532.043768	542.645217	553.473416	564.767951	575.880926	586.781441	597.458441	608.507711	619.583888	630.187347	640.716232	651.277392
13176470.600000	358.711719	359.227478	360.853236	366.025346	383.265951	436.809133	450.310105	474.451189	482.130134	489.488220	496.845718	504.028417	511.322028	518.450765	525.462233	530.329164	537.505025	547.513564	558.687645	570.223429	581.713156	593.072391	604.571844	616.357564	627.893646	639.194580	650.359798	661.761411	673.076479	684.124997
13705882.400000	377.093408	377.611159	379.248651	384.444212	401.983956	458.587559	473.523563	497.812767	506.048439	514.129354	522.204319	529.711919	537.042024	544.207123	551.361369	556.663766	564.478637	575.371740	586.806345	598.401021	610.710398	622.993060	635.073792	646.919184	659.113287	671.265072	683.239334	694.845038	706.623148	718.282594
14235294.100000	395.474260	395.994003	397.643248	403.204857	422.675936	481.729332	496.736419	523.144791	531.622038	539.739117	547.851895	555.853692	563.841903	571.645786	579.319625	584.643922	592.492744	603.701974	616.075773	628.615123	641.099630	653.682448	666.679461	679.416757	691.880901	704.356963	717.175682	729.438244	741.602354	753.805275
14764705.900000	415.521983	416.105834	417.964822	423.827037	443.367194	505.334288	521.830889	548.679781	557.814566	566.664085	575.504681	583.719523	591.738314	599.580027	607.848931	613.612284	622.106194	633.942616	646.362472	659.596900	673.029268	686.296905	699.342847	712.939320	726.281809	739.343051	752.348495	765.422186	778.385424	791.181202
15294117.600000	436.113993	436.699152	438.569205	444.448578	465.566720	530.676953	547.232884	576.306926	585.588489	594.468252	603.606436	612.504001	621.186507	629.665093	638.001337	643.782792	652.473710	665.216143	678.580313	692.120136	705.975240	720.183589	734.148849	747.832831	761.925097	775.849571	789.563264	802.929787	816.635654	830.041013
15823529.400000	457.436105	458.086232	460.171656	466.705021	488.477767	556.547962	574.611820	604.373357	614.432973	624.050984	633.657498	642.579584	651.382830	660.513563	669.488964	675.711414	684.882119	697.659107	711.816434	726.317178	740.744531	755.309657	770.202057	784.789990	799.058868	813.794542	828.360373	842.426212	856.618063	870.658411
16352941.200000	480.271260	480.922103	483.018339	489.563609	512.504973	584.118037	602.413141	634.344611	644.432183	654.379499	664.728537	674.336140	683.711024	692.862162	701.987526	708.654785	718.479928	732.164807	746.514029	761.758036	777.143442	792.332233	807.694891	823.192374	838.345313	853.351359	868.773349	883.570818	898.328733	913.043392
16882352.900000	503.414196	504.130293	506.446141	513.650413	537.661720	612.640883	632.273285	665.390151	676.259903	686.644658	697.015648	707.105744	717.153104	726.957309	736.593941	743.273587	753.319879	767.918572	783.221197	798.718436	814.988206	831.123480	846.976396	863.214640	879.257067	894.950872	910.960181	926.523938	941.938738	957.363709
17411764.700000	528.514696	529.230980	531.557727	538.769366	563.972336	642.458678	663.050169	697.610602	709.100720	720.232788	731.347857	741.662137	751.839345	762.300244	772.580398	779.705281	790.203748	805.119708	821.380046	837.842720	854.457028	871.542082	888.324670	905.017232	921.951486	938.514641	955.066329	971.450706	987.672917	1003.842437
17941176.500000	553.943675	554.725157	557.275111	565.147381	591.393833	673.967493	695.166687	731.928074	743.606555	755.068196	766.931482	777.936299	788.673164	799.152124	810.019931	817.591841	828.747437	844.280897	861.170367	878.602164	895.934721	913.749579	931.463941	948.808911	966.574718	984.008582	1001.226818	1018.431669	1035.461756	1052.404983
18470588.200000	581.325806	582.106991	584.668202	592.543828	620.376973	706.477989	729.211787	767.497774	779.965875	791.862199	803.971394	815.669171	827.080852	838.210008	849.145376	857.115605	868.929978	885.378307	902.756308	921.158629	939.453351	957.894092	976.541155	994.797136	1013.261284	1031.566249	1049.581937	1067.589723	1085.427360	1103.170490
19000000.000000	609.429715	610.283654	613.063215	621.607285	650.106360	740.835734	764.500908	804.526710	817.787875	830.434578	843.059772	855.045181	867.132405	878.919802	890.499086	898.524046	910.916508	928.281040	946.472187	965.660897	984.918510	1004.111648	1023.691402	1042.858672	1062.135192	1081.310888	1100.197623	1119.038566	1137.682783	1156.249347
19529411.800000	639.086260	639.959260	642.736371	651.394731	682.067581	776.870558	801.242645	843.579721	857.258463	870.657347	884.032215	896.429980	908.995247	921.441789	933.665744	942.137144	954.857788	973.138912	992.287044	1012.245899	1032.466163	1052.527379	1073.039109	1093.117183	1113.310935	1133.356406	1153.215058	1172.898152	1192.390332	1211.802929
20058823.500000	670.196923	671.158921	674.147950	683.382625	715.065808	814.362493	840.202967	884.553982	898.626474	912.698236	926.824016	939.913903	952.821271	965.927270	978.796030	987.714081	1000.900640	1020.089168	1040.193962	1061.039241	1082.221294	1103.256700	1124.699099	1145.686904	1166.894141	1187.808308	1208.735240	1229.292188	1249.750417	1270.039943
20588235.300000	702.324845	703.353471	706.565824	716.480443	749.385186	853.499511	880.885176	927.352152	942.216312	956.709838	971.587197	985.369504	998.809099	1012.514593	1026.027817	1035.392378	1049.190519	1069.257564	1090.318349	1112.156659	1134.299088	1156.406315	1178.777579	1200.701615	1222.983453	1244.764493	1266.842022	1288.284719	1309.749186	1331.039398
21117647.100000	736.576865	737.615598	740.851546	750.830960	785.905468	894.745494	923.384619	972.126947	987.786160	1002.831427	1018.460599	1032.935172	1047.048092	1061.330624	1075.487605	1085.298273	1099.767784	1120.759688	1142.775751	1165.705103	1188.806035	1212.075095	1235.373054	1258.503245	1281.670294	1304.482468	1327.620530	1349.959292	1372.467121	1394.792814
21647058.800000	772.251993	773.358808	776.836138	787.440665	823.924257	938.008629	967.854015	1019.017643	1035.470859	1051.190524	1067.571044	1082.737777	1097.523480	1112.492067	1127.291800	1137.547958	1152.766954	1174.703356	1197.672952	1221.783627	1245.840827	1270.354897	1294.577067	1318.990219	1343.039858	1367.163769	1391.150261	1414.586863	1438.044033	1461.373092
22176470.600000	809.395174	810.569766	814.292357	825.576295	863.600288	983.243678	1014.429267	1068.151698	1085.399328	1101.904318	1119.033212	1134.893980	1150.386782	1166.106600	1181.547834	1192.248700	1208.342565	1231.187831	1255.315393	1280.484256	1305.708606	1331.331313	1356.716904	1382.242335	1407.429954	1432.673593	1457.766449	1482.445520	1507.039711	1531.469567
22705882.400000	848.329799	849.526446	853.411649	865.376469	905.104371	1030.586864	1063.236364	1119.646176	1137.688421	1155.080800	1172.957146	1189.511390	1205.878282	1222.273841	1238.355134	1249.517741	1266.553566	1290.305271	1315.766355	1341.892677	1368.523542	1395.084209	1421.909720	1448.336197	1474.981135	1501.123999	1527.656800	1553.267080	1579.029055	1604.611544
23235294.100000	889.427917	890.666943	894.666719	907.012528	948.676475	1080.169205	1114.394864	1173.608911	1192.445812	1210.819829	1229.442563	1246.689544	1264.035884	1281.086233	1297.805990	1309.760373	1327.485945	1352.223373	1379.008236	1406.309479	1434.192866	1462.096918	1490.015648	1517.921419	1545.499921	1573.187780	1600.594794	1627.686582	1654.623189	1681.397047
23764705.900000	932.391700	933.697333	937.953310	950.691689	994.477420	1132.106891	1168.011806	1230.139563	1249.793991	1269.213991	1288.581916	1306.776182	1324.926007	1342.629800	1360.362671	1372.844753	1391.219932	1417.385657	1445.115763	1473.958592	1502.881236	1532.269323	1561.464278	1590.599910	1619.652318	1648.337547	1677.366809	1705.419094	1733.596599	1761.622879
24294117.600000	977.321335	978.716357	983.222857	996.569728	1042.411316	1186.506737	1224.186026	1289.330532	1310.139251	1330.349381	1350.499198	1369.811973	1388.628987	1407.239091	1425.885035	1438.807750	1458.105716	1485.488711	1514.638831	1544.601925	1575.171403	1605.660680	1636.346023	1666.874685	1697.091245	1727.418625	1757.543551	1787.132658	1816.621636	1845.938482
24823529.400000	1024.348379	1025.863200	1030.585487	1044.667165	1092.596832	1243.467308	1283.008983	1351.315619	1373.338377	1394.306271	1415.713504	1435.737424	1455.403666	1475.076186	1494.357755	1507.982417	1528.319472	1556.814429	1587.393313	1618.884861	1650.602264	1682.788411	1714.809706	1746.642746	1778.528382	1810.061602	1841.669852	1872.592355	1903.472086	1934.184419
25352941.200000	1073.623067	1075.228262	1080.200826	1095.027110	1145.149768	1303.200500	1344.565627	1416.610813	1439.434164	1461.552306	1483.909555	1504.780511	1525.612924	1545.931082	1566.369463	1580.624009	1601.655592	1631.755822	1663.677294	1696.511918	1730.003470	1763.506335	1796.944179	1830.496352	1863.705341	1896.683517	1929.895486	1962.106011	1994.447084	2026.622141
25882352.900000	1125.260594	1126.934706	1132.184315	1147.759825	1200.241252	1366.011516	1409.260523	1484.867579	1508.786738	1532.028842	1555.302421	1577.408947	1598.920686	1620.501883	1641.706896	1656.596176	1678.887670	1710.172466	1743.586590	1778.157337	1813.042063	1848.041537	1883.269278	1918.259814	1952.934473	1987.630315	2022.303927	2056.043273	2089.849778	2123.516851
26411764.700000	1179.366511	1181.108936	1186.641778	1203.109122	1258.091296	1431.706449	1477.112758	1556.359609	1581.603125	1605.774887	1630.388444	1653.277361	1676.124636	1698.398010	1720.843144	1736.424288	1759.627833	1792.431329	1827.530172	1863.586232	1900.038807	1936.889607	1973.667011	2010.230739	2046.584382	2082.907905	2119.164626	2154.511954	2189.877588	2225.110640
